Q1	Massage oil Where I can buy good oil for massage?
Q8	anyone knows where the best to sell or trade cars here in Doha? i was thinking of trading or selling my car. in case i want to trade it, where is the best trading company? as well as to where to sell it?
Q8_C1	RE: anyone knows where the best to sell or trade cars... BEst Place is Qatarliving ofcourse
Q8_C2	RE: anyone knows where the best to sell or trade cars... u r already in the best place ... advertize here in QL
Q8_C3	RE: anyone knows where the best to sell or trade cars... it might take awhile to sell a dodge car nowadays and if you are looking for a best sell place i don't suggest you to park your car in one of those car shops at salwa roads, it take awhile to be noticed, so  your best bet to find car showrooms inside doha or add your car at http://qatarsale.com by contacting them and they will do the rest
Q8_C4	RE: anyone knows where the best to sell or trade cars... try these sites, www dot qatarsale dot com and www dot qatarcl dot com...good luck
Q8_C5	RE: anyone knows where the best to sell or trade cars... Approach Oasis Used Cars.. they are the best.  Location near Crazy signal  dial 111 to get the contact number.
Q8_C6	RE: anyone knows where the best to sell or trade cars... salwa road has a lot of cars showrooms also.  let me tell you something , if you like adventures just go to Industrial Area - Street No. 10 , on thursdays and fridays :) , you will find your self in Cars Souq  alot of cars , alot of people :) .. but if u go there and you was upset .. its not my fault :)
Q8_C7	RE: anyone knows where the best to sell or trade cars... which car do you have?
Q9	my doubt I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went, my doubt is that, how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?
Q9_C1	twinkle twinkle little star come on all just clear out my doubt
Q9_C2	the person should have been under family sponsorship. thats the only visa i think which is extensible upto 6 months. Anyways, the person has to wait 3 months to come back.
Q9_C3	After Three Months. After Three Months.
Q9_C4	Living up to the reputation Bond and others have given me Moths will not help you being here at all.  They are fluttery creatures that destroy cloth. I doubt any moth will help you at all.  To be puerile though and living up to the persona some have created for me on QL. I will say this, can't answer your question as I don't have a problem with travel as I am English and as much as we are 'hated' by some we can travel anywhere we like.
Q10	is there any temple in qatar ...... Hi, as most indians live in qatar.... is there any temple in qatar.....
Q10_C1	RE: is there any temple in qatar ...... http://www.qatarliving.com/answers/living-in-qatar/any-hindu-temple  write temple on the search at  the right hand side u will find many threads on this topic..............
Q10_C2	RE: is there any temple in qatar ...... Qatar is basically an islamic country and they see asian expats as slaves and nothi8ng more. So u may see churches here but you wont find temples. And idol worship is not allowed in islam. Hence you wont find temples here. I hope one day qatar changes the attitude of seeing asians as slaves.
Q10_C3	RE: is there any temple in qatar ...... Shayampsundar....... You are prejudiced against Qatar............ why not you leave this country if your religious sentiments are being bashed..... as you claim!! Asians are slave??????????? Are you treating yourself as a leader of again community here.  Beware such statements can lead to your deportation also....... i know you are still a kid ( based on your profile)...... but refrain from unworthy comments...... otherwise this would lead to problem for your parents who are earning their livelihood here and feeding you!!!
Q10_C4	RE: is there any temple in qatar ...... SHYAM SUNDER....  are they treating u as a slave or do u consider yourself to be a rotten slave....coz i do not think that any one here has bothered to chain ur legs to some shackles here and kept u bonded...u are here just for your some meaningful gains and u are making yourself a slave to the country..like any respect a human being deserves everyone has the freedom to choose to stay or go away from a place he likes or dislikes...so if u do not like the systems here y the hell are u making urself a slave or a DOG over here...get lost man to ur own country and iam sure wherever u go u will definitely treat others as slaves..so cheers
Q10_C5	RE: is there any temple in qatar ...... shayampsundar, u have the right to speak out and give ur comment or suggestion but u should respect Qatar or the relegion Islam!by giving comments to ur brother..... if somebody treated u as slave don't generalized all the locals or Qatari/we all know most indians was lazy and trying hard/they think that they know everything but we know that their really something/talkative and staburn...
Q11	Who is the Best Hijacker here in QL? Please Comment :)
Q11_C1	lol lol Darude _______________________  '' Live for Nothing or Die for Something '' _______________________
Q11_C2	lol lol Darude _______________________  '' Live for Nothing or Die for Something '' _______________________
Q11_C3	lol lol Darude _______________________  '' Live for Nothing or Die for Something '' _______________________
Q12	when is Eid? any news?  i heard dubai is having eid tomorrow.
Q12_C1	EID is on Friday
Q12_C2	EID MUBARAK to all the muslim EID MUBARAK to all the muslim fellow...
Q12_C3	ok thanks for info... happy ok thanks for info... happy EID!!!
Q12_C4	well in my experience....when well in my experience....when the month of Shabaan is 29 then Ramadan is def 30 and vice versa.....
Q12_C5	http://translate.goo... http://translate.google.com/translate?hl=en&sl=ar&u=http://www.aljazeera.net/&ei=msKHTK7YNY-ycbfF0J4I&sa=X&oi=translate&ct=result&resnum=1&ved=0CCcQ7gEwAA&prev=/search%3Fq%3Dwww.%2Baljazeera.net%26hl%3Den%26safe%3Dactive
Q13	urgent.. pls reply.. is there near hamad health center rouda aria{near church}?
Q13_C1	RE: urgent.. pls reply.. Your question is not clear and you need urgent reply ?  Next to impossible, pls wait until next world cup football in 2022 new constructions are coming up in Qatar, someone will try to answer you.
Q13_C2	RE: urgent.. pls reply.. Seems you are trying to find out whether any health centre in Al Rawda area,  The nearest one I belive in Airport Health centre, go there and ask, then they will guide you.  Airport Health centre is on the Airport Road near DHL
Q13_C3	RE: urgent.. pls reply.. thanks for you guys reply
Q14	Infiniti G 35 vs. Lexus IS 300 opinions?? i'm doing some new car shopping and seeking your valubale opinions ..  i have short listed the cars to Infiniti G 35 and Lexus Is 300 .. any experinces with these 2 cars?? asking about .. maintaining the car not only purchasing it .. after sales services??
Q14_C1	Lexus is better. Lexus is better.
Q14_C2	If you can afford the IS F. If you can afford the IS F. There is nothing like it.
Q14_C3	infiniti G35 anytime... infiniti G35 anytime...
Q14_C4	IS 300 Take it from me i have rode on both cars before, both are luxurious, both have fast acclerations and both looking pretty nice. Lexus IS 300 has more functions in it and doesnt need much of a modification since it already looks hot as stock but Infinity G35 can be modified nicely to be just as mean as Lexus. So the choice is yours. Good Luck
Q14_C5	If lexus - than hybrid. It's If <a href="http://autoya.info/lexus_rx450h_test_review/">lexus</a> - than hybrid. It's much moderner!!! Or wait until the new one with updated options
Q15	anyone interested in private pilot training I was wondering if their is any interest in getting private pilots licence in Qatar?
Q15_C1	lol <p><a><strong> lol</strong></a><strong></strong><br class="clear"></p>  <a href="http://tinypic.com" target="_blank"><img src="http://i36.tinypic.com/2rcyhwg.jpg" border="0" alt="Image and video hosting
Q16	bye bye time.. almost it's 4:30 pm,.. almost time for me to go home...it had been an interesting QL day today...hope to see everyone again tomorrow,. hopefully, there's not much traffic so travelling home should be a breeze.... good evening to y'all!
Q16_C1	lol MD..... lol MD.....
Q17	rolex watch I have a rolex oyster perpetual watch day-date( gift).I don't know what happened to it..it just stops when i don't use it after 4 hours-more or less then when i adjust it,it moves.do anyone have an idea where I can have it checked?thanks!
Q17_C1	RE: rolex watch Go to 51 East (either in City Centre or in Al Maha near Jarir). They are the agents of Rolex and will have technicians.
Q17_C2	RE: rolex watch as aby said these are motion watches......
Q17_C3	RE: rolex watch Rolex agent is Modern home, u must take advice from them, according to advice u have to take dession. Secundly your watch is not aut.  Best of luck.
Q17_C4	RE: rolex watch This is a common finding when first starting to use a rolex...i panicked when i first got mine and took it back to the dealer as it stopped as i took it off over night the first time i got it...wear it on for a few days then it wont stop if u leave it overnight but it would stop if u leave it for a couple of days though...enjoy it
Q17_C5	RE: rolex watch <P>Im a fan of designer watches,I usually buy rolex,omega,and other luxury watches at http://www.cheap-rolex-shop.com/ http://www.cheaprolexshop.com/ http://www.buycheaprolexwatches.net/ my love watch shops offer the excellent quality and decent price,if youre willing to,you can visit them.</P>
Q18	body massage hi there, i can see a lot of massage center here, but i dont which one is better. can someone help me which massage center is good...and how much will it cost me? thanks
Q18_C1	and why choose a PHILIPPINO lady for a massage??
Q18_C2	I enjoy the Marriott Spa I enjoy the Marriott Spa massage a lot. and often go to Ritz Carleton   In the Cookies of Life, FRIENDS are the Chocolate Chips
Q18_C3	Hi So you are looking for a message !!! hmmmm i dont recommend any one of them, i went once and i was going to xxxxx with that semi guy, they all are shemales belive me, so if u r looking for that go ahead otherwise there is the only one who is the decent at al saad street, it is after al saad plaza if you are coming from the new traffic light near the BMW, it is called kotakel something like that.  Good luck
Q18_C4	we share similar interests. good facial centres/spas,try marriott or ritz, they have a lovely spa, but expensive. a new place opened up opp city centre, its called bio something.they too specialise in the same stuff.again expensive.  lady siam centre near toys r us, alsadd area, is good too.they specialise in thai massages and stuff and their facial is really nice and soothing. had it long time back, but communiacting with them is difficult as they speak only thai and broken english.  massage, you can try chinese reflexology massage at ramada, that good too, also the kottakal massage centre in muntaza area, cheap and good for body pains and stuff.both are priced at aprox 100qrs.  almost all saloons do facials and some have real extensive range of facials.u need to try out the places to get a feel of it.  i just saw your profile, you sound so much like me, except the coke and margarita part.
Q18_C5	LADY MESSAGE Hi all is there any Phillipino lady makes Good message in Home either for men or for women .. Kindly Send mail to  killer_mllr@yahoo.com with the charges to be mentioned also..   thanks ..................
Q18_C6	message??? <p>every one can make message just pick the damn cell phone and start sendin text or sms or message what ever you call BUT MASSAGE THAT YOU ONLY GET IN JAIL FROM FEMALE INSPECTORS WITH A 10FOOT LONG STICK &nbsp; </p> <p> &nbsp; </p> <p> [img_assist|nid=73057|title=.|desc=|link=none|align=left|width=|height=0] </p>
Q18_C7	is this true is this true....
Q18_C8	so where did u reach any luck  ??
Q18_C9	Lady Siam The massage itself is ok, not excellent, but ok. The overall experience is not the best - can never reach them on the phone, the receptionist is not very friendly, not punctual. Another words if you are looking for the experience, this is not the place to go.
Q18_C10	philippino massage any body know philippino masseure in doha kindly tel me  they r the best in giving massage or email me philip.game@hotmail.com
Q18_C11	Hi qatar127 Which one is that xxxx place so i keep away frm there as i go offen checking out massage center.  so lt me know were did u get xxxx massage which cenetr  cheers !!!
Q18_C12	Lady Siam Massage I have been a member for the last 8 years. It is the perfect place for me and highly recommended. It is always fully booked but schedule yourself one week in advance you'll get one! There are Gel nail services as well.
Q18_C13	hay guys thanks , i guess i  wil try the lady shiam, and the bio bil,hhehehe  hmmm what else is new to try here in doha?
Q18_C14	Ask for Belen at Hi Gringer,  Ask for Belen at Bio Bil ... she's amazing!! Have fun!!  MC
Q18_C15	u wud get only body u wud get only body massage.............any other massage will be going on inside your head.the place and the person doing your massage....well work your imagination. wont that be fun and ultra relaxing.   happy heart drive safe cos someone is waiting for u at home
Q18_C16	Ladies Siam Massage ... Recommended that place ... (owned by my thai girlfriend). Their facial are very good and their aromatherapy alot better than Marriot massage.
Q18_C17	professional massage I like professional sport massage, specialy after a fitness session, and the masseur at ramada is good; ok also the indian kotakel, the philipino on najima I found depressing and not clean (male section at least).And, as far as I know, there are always masseur for men and masseuse for ladied, this to avoid expectations. Anybody tried the british massage therapist (his ads chilloutnow in QL)  ?
Q18_C18	just got interested only how much the charged for the massage at the back only???...not a whole body massage....if there's any...where is that place to be???...thanks
Q18_C19	I have to say it!!!!! "This IZ Chief Inspector Clouseau speaking on the pheaun. ... Do you have a massage for me?"  In honor of Peter Sellers  http://www.youtube.com/watch?v=VnLhvMStUWU
Q19	Giving a birth in qatar Hi all,  My wife is nearly to give birth and i am wondering which is the best clinic/hospital in qatar,  Some people are considering that hamad is the best other al ahly other clinic al doha ...  Please can you share with us your idea and experience and give us advice.  Thanks in advance
Q19_C1	even if you go to al ahli even if you go to al ahli after delivery you will be referred to hamad for further proceedings...birth certificate, immunization etc..better go to hamad inshallah everything will be fine...to go to ahli is to simply increase your expenses...
Q19_C2	Al Ahli is the best if u have Al Ahli is the best if u have insurance. I just delivered 6 months back there and was well taken care of. Hamad has limited number of beds in the labour room and some times u have to wait your turn!!!!
Q19_C3	Best is Doha clinc hospital Best is Doha clinc hospital and Dr Maha yehia Mohmoud best gynac
Q19_C4	As i understand Hamad is a As i understand Hamad is a government hospital, and Doha clinic is private, is that right?  and if so, is it always private better than government? in concerning caring and experience of doctors, right?
Q19_C5	you will only pay 100 QR per you will only pay 100 QR per day in hamad.. that's all.. everything is free.. even if C-section is going to be performed only room charge 100 QR/day is going to be paid by the patient.. the shorter she stays in hamad the cheaper it gets...my wife delivered our third baby in 2010 in hamad... now even if i have AXA insurance i will still consider hamad when my wife delivers our next baby in 3 weeks from now.. that is because i am very much satisfied with hamad...best service at lowest cost...
Q19_C6	hamad hosp will charge 200 QR hamad hosp will charge 200 QR per day for visit visa pregnant women who will deliver their babies...check hamad women's hospital for more info...
Q20	Qatar Airways Cabin Crew If i wanted to apply for Qatar Airways as Cabin Crew, would they let me sponsor my son?
Q20_C1	Aana free, no they wont.  Aana free, jaana free, Pakde gaye tho khana free.
Q20_C2	Well i think they are not  hiring the married females... its there policy ... And by chance if you will be selected.. they will not sponsor your son....  Cheers !!!
Q20_C3	i'm i'm not married. single mom.
Q20_C4	its not a problem for you to its not a problem for you to join but sponsoring your son is definitely no no....... and by the way....they do recruit married females....FYI
Q20_C5	In qatar You can ONLY In qatar You can ONLY sponsor Your family if you work in Government :)
Q21	ZAGU In DOHA? TO all Filipinos here in DOHA.  Would  you like to have the ZAGU ( black pearl shake) here in DOHA?  Just "YES" or "NO" Please.
Q21_C1	set-up a store to open on set-up a store to open on each and every mall,  1. City Center 2. Villagio 3. Hyatt Plaza 4. Landmark 5. The Mall 6. Centrepoint 7. Lulu Hypermarket  you may also consider setting-up stores in 1. Souq Waqif 2. Souq Asiery (Pilipino Souq)  <em>&quot;How far you go in life depends on you being tender with the young, compassionate with the aged, tolerant of the weak. Someday you will have been all of these.&quot;</em>
Q21_C2	Oh my Yhes!!!! :) Oh my Yhes!!!! :)
Q21_C3	Although I love Quickly Although I love Quickly better... :(
Q21_C4	so where is zagu now? so where is zagu now?
Q21_C5	RefinedSoul sorry to say u RefinedSoul sorry to say u dont have one
Q21_C6	bigger n longer 4 u, bigger n longer 4 u, would u try!
Q21_C7	Yes Chinx,, We are on the process of registration by the way..
Q21_C8	ITS A BIG ITS A BIG YESSSSSSSSSSSSSSSSSSSSSS............. ;)   temper is something u cant get rid of... by loosing it...
Q21_C9	Wish you more success. @ Denis Reyes:  Looking forward that your business will prosper.  We'll be waiting this to happen.   Would you be kind enough to give us inputs where how do we get started when putting up business here in Qatar?  Believe!
Q21_C10	what is Zagu?? what does it look like. <img src="http://www.qatarliving.com/files/images/Da.gif">
Q21_C11	YESSSSSSSSSSSSSSSSSSSSS YESSSSSSSSSSSSSSSSSSSSS
Q21_C12	yep!love it...are u planning yep!love it...are u planning to put up a zagu business here?;)
Q21_C13	Isn't it a food franchise in Isn't it a food franchise in Philippines? The franchise owner would be happy to know about your idea but I believe there are some business issues to hurdle first when franchising in foreign countries.  Starting a ZAGU concept here wither franchise or personal is feasible. Guts and understanding the government business operations in Qatar are essentials. Customer satisfaction and profitability come next.  For sure, we are your "SUKI" regular customers. Our family love to hear, we got one "Orig'l PINOY!" in DOHA.
Q22	Where can i buy globe roam sim here in qatar? Can anyone tell me where can i buy globe roaming sim? thanks! if your selling globe roaming sim.. you can call me at +9746057424.. thnx!
Q22_C1	vivo bonito, did you just vivo bonito, did you just cut and paste that from the Globe Website? :D LOL  Mine was my own words. bec. i used to work with SMART :p
Q22_C2	nkotb... i am not working to nkotb... i am not working to any either of the smart or globe.. and that was my opinion when i bought one family sim pack... to where, at my disappointments.. were not all true upon on the run...(sigh)hell network, a misguiding false adverts ...;,,  <a href="http://s185.photobucket.com/albums/x25/casabella1434/?action=view&current=sheep.gif" target="_blank"><img src="http://i185.photobucket.com/albums/x25/casabella1434/sheep.gif" border="0" alt="Photobucket"></a> ~~Life's Cycle~~~
Q22_C3	VB, i didnt say you are VB, i didnt say you are working with smart or globe. Geesh! I just meant, your first post, i bet it came from the website of globe and you just cut and paste it here in QL. LOL
Q22_C4	labo mo naman mang-amoy kung labo mo naman mang-amoy kung nagbabasa...   GLOBE FAMILY SIM PACK comes with 1PC OFW PREACTIVATED ROAMING SIM and 2PCS FAMILY SIM sold at PHP120.00 only available at designated retail outlets in the Philippines. u would easily find it while processing some of ur papers at POEA Ortigas.  dito ako nakabili ng SIMPACK mismo sa loob ng POEA habang antay ng tawag ng number ko.. dami kaya walk-in sellers sa loob...   <a href="http://s185.photobucket.com/albums/x25/casabella1434/?action=view&current=sheep.gif" target="_blank"><img src="http://i185.photobucket.com/albums/x25/casabella1434/sheep.gif" border="0" alt="Photobucket"></a> ~~Life's Cycle~~~
Q22_C5	at the souq.... you mean at the souq.... you mean globe users in the phils. can call our globe roaming here? seriously? what's the rate per minute?
Q22_C6	Hina naman ng catsup ng Hina naman ng catsup ng ibang tao talaga oo! WATIBER!
Q22_C7	Eo!! Wel.. Mga prinds.. tentyu sa mga adbays nyu.. mebi ay'l dyas stek tu smart por naw.. mdameng tentyu! we chat using Ym.. bat it's nat enaf.. ^^ waheheh! tenty por ol yor koments prinds!
Q22_C8	i heard that globe's signal is not good here and besides calling thru roaming will be more expensive. anyway, in the souq ull find sim roaming for smart, dont know about globe  <a href="http://s255.photobucket.com/albums/hh125/kooleeet/?action=view&current=i_l_ve_y.gif" target="_blank"><img src="http://i255.photobucket.com/albums/hh125/kooleeet/i_l_ve_y.gif" border="0" alt="Photobucket"></a>
Q22_C9	you can go to filipino souq you can go to filipino souq you cab get it for QR 25.
Q22_C10	ask lang po, mgkano nmn po ask lang po, mgkano nmn po mgpaelectronic load dun sa souq. ty...  <a href="http://graphics-comment.blogspot.com?c=hugs&n=6"><img src="http://ZangyGraphics.com/hugs/6.gif" border="0" /></a><br /><a href="http://graphics-comment.blogspot.com"><img src="http://zangygraphics.com/imgs/zangylogo.jpg" border="0" /></a>
Q22_C11	waaaaaaaaaaa!! i Already checked the kababayan supermarket. but they dont have globe roaming sim there. only smart. i'm using smart now just for temporary. Smart cannot be called but i'm not sure of it. My gf is globe and its too expensive for her to text to my smart because it will cost her 2php every text. Everytime my gf call me it cost her.. 20php per 1min. uhmm.. Maybe I'll try to find globe sim in souq. I hope i could get one there. Globe has a good signal here too. When i arrived here im using globe roaming sim. and its ok but it was been deactivated last thursday because my load dind'nt catch up. ehehe!Thank you!! ill try to check the stores again there or if i cant really find one here.. maybe i'll just ask my friends in phil who are going here in qatar.  Thanks again! btw are you all filipino? ^_^
Q22_C12	i didnt see any globe sim in i didnt see any globe sim in filipino souq... there are lots of smart sim available in souq..
Q22_C13	simangot, i suggest your GF simangot, i suggest your GF switch to smart sim in pinas. I will tell you some encouragement and ideas. And advantages and disadvantages of both Globe and Smart. Here it goes:  With SMART, you dont have to load everyday or every week just to maintain your sim or be activated. you can do SmartLoad or Over The Air Reload once in 3 Months. The sim will be deactivated within 120 days of NO LOAD. 1 Peso text from Pinas to Internatioal Roaming Sim. Smart Signal is also good in Doha. In industrial Area is good, why not in the city. :)  With GLOBE, you have to maintain a LOAD everytime for the rest of your life in abroad. Much Expensive.  With Smart, when activated as Roaming Sim, Pure Text only. While Globe, you can receive/make calls but it's expensive. International Rate Charges Apply. If you happen to buy that Globe OFW Sim, it's a BULL! They said on the TV Commercials that no maintaining balance for 1 year or Forever, i dont remember anymore. It's not True! you still have to reload within 1 month of use.  I guess you are working here in Doha, right? I bet you talk to your GF at night or after work or in the morning. Why don't you buy QTEL Sim from QTEL Offices. It's only 50QR now, i think they still have this Promo going on. Or better yet, there is this internet calls located in Doha. Maybe its in Souq or Industrial Area. 1 minute is to 1QR. Cheaper than using your QTEL SIm to call Pinas for 1.85QR per minute.
Q22_C14	GLOBE FAMILY SIM PACK comes GLOBE FAMILY SIM PACK comes with 1PC OFW PREACTIVATED ROAMING SIM and 2PCS FAMILY SIM sold at PHP120.00 only available at designated retail outlets in the Philippines. u would easily find it while processing some of ur papers at POEA Ortigas.  Family Sim can text and call the OFW Sim at a cost of philippine local standard SMS and Calling charges. The OFW sim remains still active even at a zero load balance while abroad provided, however, any of the family sim must use the facility of SMS or calling at a time not exceeding within a month period. Anyhow, anyone of the Family Sim dont have any SMS or calling activity within a month to an OFW SIM, the service shall be automatically deactivated. Likewise, the OFW sim lost its special service capabilities. The OFW SIM will be then regarded as ordinary SIM.  >
Q22_C15	why stick to Globe? A lots why stick to Globe? A lots of Smart Roaming SIM is available in Souq Area. Electronic loading is also available there.   EOF0825
Q23	How is Gulf Driving School? I want to take a Driving Classes from Gulf Driving School as it is near to my flat. Can anyone suggest me the popularity of this School?
Q23_C1	RE: How is Gulf Driving School? It's popular with guys living near your flat.
Q23_C2	RE: How is Gulf Driving School? Most of people prefer Karwa driving school. As registration process is swift. I heard from my fellas there is some offerfor  full course, but your enrollment will come after 1 month.
Q23_C3	RE: How is Gulf Driving School? Gulf driving school offers the best chance of you getting your licence among all the driving schools. It is popular because of the high success rate. The teaching however is terrible. So if you really want to learn driving, go to some other place. If you just want the licence, you can try gulf driving school
Q24	Location of Bosnia Anybody who knows the location of bosnia near dasman center?
Q24_C1	RE: Location of Bosnia Bosnia and Herzegovina located : Left from Romania, Right from Rome, little Down from Hungary and little up from Bulgaria. Not far from Black see.    I think its enough for u.  Thank u
Q24_C2	RE: Location of Bosnia What i mean is bosnia embassy
Q24_C3	RE: Location of Bosnia Hello... I can show you on map....milady...
Q24_C4	RE: Location of Bosnia How generous is Alimar...hehehee...
Q24_C5	RE: Location of Bosnia im looking for embassy of bosnia, somebody called me and said its near dasman center. im going there later this evening
Q24_C6	RE: Location of Bosnia hello friend, Bear in mind that there are more than one Dasman centre in the city...cheeers
Q24_C7	RE: Location of Bosnia Bosnian emabssy was on D ring road,but go to 180 and get number,call them and get location.
Q25	Walking in Doha Hi  This might be a bit of an odd question but can you walk from the Japanese Embassy or the Kempinski Hotel to City Centre Shopping Centre?  It looks definitely walkable distance-wise but do the roads preclude any chance of walking?
Q25_C1	noo its very unsafe U have dodge bullets bombs and air strikes
Q25_C2	I see a lot of people are I see a lot of people are walking in City Centre area in the evenings and weekends. They park their cars all around W, Kempinski, and stuff, and just walk.. it's not really safe, as there are no sidewalks in Doha, but as I said, I see many people do it.. Life is unsafe in general.. so..
Q25_C3	Thanks very much.  I once Thanks very much.  I once made the mistake before going out to Dubai of assuming I could easily walk across the Sheikh Zayed Road...
Q25_C4	Yes, but only in the Yes, but only in the winter! Mandi
Q26	General tier 1 migrant visa to UK Hi ladies and gentlemen, i would like to know if any one has experience applying for UK visa General Tier 1 that allows u to work in UK. please ur advise is v important.
Q26_C1	I happen to know first I happen to know first hand..factors such as age, education and earnings for the past 12 mths of the applicant will be alloted 'points' and if he/she meets the minimum points for this visa category then its not a problem at all. You will have to apply from outside the UK for this, even if you are currently residing there under a different visa category.  What do you want to know specifically?   ~Live like there's no tommorrow~
